mac,temperature1,temperature2,uptime,cpu1,cpu2,cpu3,cpu4,cpu5,cpu_load_1m,cpu_load_5m,cpu_load_15m,mem_buffered,mem_cached,mem_free,mem_total,num_ifaces,sanity,health_mem
903cb3bb245d,48,48,1753021,1,3,1,1,1,0.0,0.0,0.0,9318400,26906624,797908992,973131776,1,100,18
903cb3bb245d,48,48,1753082,1,1,1,1,1,0.0,0.0,0.0,9318400,26906624,797839360,973131776,1,100,18
903cb3bb245d,48,48,1753142,1,1,1,1,1,0.0,0.0,0.0,9318400,26906624,798203904,973131776,1,100,18
903cb3bb245d,48,49,1753202,1,2,1,1,1,0.0,0.0,0.0,9318400,26906624,797696000,973131776,1,100,18
903cb3bb245d,48,49,1753262,1,2,1,1,1,0.073243,0.016114,0.004883,9318400,26906624,797569024,973131776,1,100,19
903cb3bb245d,48,49,1753322,1,2,1,1,1,0.024903,0.010254,0.0,9318400,26906624,797511680,973131776,1,100,18
903cb3bb245d,48,49,1753382,1,2,1,1,1,0.006836,0.004395,0.0,9318400,26906624,797839360,973131776,1,100,19
903cb3bb245d,48,49,1753502,1,2,1,1,1,0.0,0.0,0.0,9318400,26902528,797556736,973131776,1,100,19
903cb3bb245d,48,49,1753562,1,2,1,1,1,0.080079,0.016602,0.005371,9318400,26902528,797798400,973131776,1,100,19
903cb3bb245d,48,49,1753622,1,3,1,1,1,0.027344,0.010742,0.0,9318400,26902528,797732864,973131776,1,100,18
903cb3bb245d,48,49,1753682,1,2,1,1,1,0.007813,0.004883,0.0,9318400,26902528,797708288,973131776,1,100,18
903cb3bb245d,48,49,1753742,1,3,1,1,1,0.000977,0.0,0.0,9318400,26902528,797884416,973131776,1,100,18
903cb3bb245d,48,49,1753802,2,4,1,1,1,0.0,0.0,0.0,9318400,26902528,797650944,973131776,1,100,19
903cb3bb245d,48,49,1753862,2,3,1,1,1,0.0,0.0,0.0,9318400,26902528,797446144,973131776,1,100,19
903cb3bb245d,48,49,1753923,1,2,1,1,1,0.0,0.0,0.0,9318400,26902528,797446144,973131776,1,100,19
903cb3bb245d,48,49,1753983,1,2,1,1,1,0.0,0.0,0.0,9318400,26902528,797851648,973131776,1,100,19
903cb3bb245d,48,49,1754043,1,2,1,1,1,0.0,0.0,0.0,9318400,26902528,797503488,973131776,1,100,19
903cb3bb245d,48,49,1754103,1,3,1,1,1,0.056153,0.014649,0.003418,9318400,26902528,797876224,973131776,1,100,19
903cb3bb245d,48,49,1754163,1,2,1,1,1,0.018555,0.008789,0.0,9318400,26902528,797859840,973131776,1,100,19
